id,precision,recall,f1
0,0.616446,0.262885,0.368586
1,0.425837,0.318996,0.364754
2,0.16004,0.431635,0.233503
3,0.328671,0.267045,0.294671
4,0.892857,0.909091,0.900901
5,0.433999,0.25954,0.324827
6,0.000213797,1,0.000427503
7,0.282572,0.685363,0.40016
8,0.356486,0.401303,0.377569
9,0.108125,0.940217,0.193946
10,0.263459,0.680473,0.379851
11,0.516817,0.26138,0.347176
12,0.358896,0.768053,0.489199
13,0.299748,0.56,0.390484
14,0.522297,0.597196,0.557241
15,0.661376,0.307125,0.419463
16,0.568306,0.717241,0.634146
17,0.529733,0.628479,0.574896
18,0.808108,0.720482,0.761783
19,0.337662,0.987342,0.503226
20,0.384513,0.542373,0.45
21,0.316422,0.598485,0.413974
22,0.603793,0.246186,0.349762
23,0.174419,0.692935,0.278689
24,0.63388,0.763158,0.692537
25,0.37426,0.580941,0.455241
26,0.329073,0.990385,0.494005
27,0.37037,0.821918,0.510638
28,0.541401,0.541401,0.541401
29,0.508353,0.460043,0.482993
30,0.435015,0.158247,0.232072
31,0.578431,0.475806,0.522124
32,0.6,1,0.75
33,0.42112,0.727473,0.533441
34,0.600924,0.537931,0.567686
35,0.524532,0.586826,0.553933
36,0.404382,0.918552,0.561549
37,0.149533,0.888889,0.256
38,0.766467,0.569395,0.653395
39,0.255116,0.542029,0.346939
40,0.344262,0.223404,0.270968
41,0.000358712,1,0.000717167
42,0.186863,0.264423,0.218978
43,0.555725,0.470893,0.509804
44,0.417311,0.649819,0.508235
45,0.333588,0.359375,0.346002
46,0.0637555,0.935897,0.119379
47,1,1,1
48,0.272048,0.784483,0.403996
49,0.452555,0.873239,0.596154
50,0.428571,0.815789,0.561934
51,0.254118,0.8,0.385714
52,0.233645,0.219298,0.226244
53,0.551495,0.504559,0.526984
54,0.268246,0.297269,0.282013
55,0.163033,0.690763,0.263804
56,0.353698,0.569948,0.436508
57,0.0697674,1,0.130435
58,0.272026,0.419355,0.329993
59,0.0940325,0.416834,0.153449
60,0.762673,0.846547,0.802424
61,0.630522,0.592453,0.610895
62,0.65625,0.954545,0.777778
63,0.298597,0.586614,0.39575
64,0.489607,0.806084,0.609195
65,0.335784,0.815476,0.475694
66,0.291228,0.294326,0.292769
67,0.125966,0.567944,0.206199
68,0.231193,0.424242,0.299287
69,0.62234,0.815331,0.705882
70,0.666667,0.666667,0.666667
71,0.594595,0.64918,0.62069
72,0.300901,0.752252,0.429858
73,0.38055,0.789474,0.513552
74,0.321364,0.735616,0.447314
75,0.00232153,1,0.00463231
76,0.333333,0.519018,0.40595
77,0.384615,0.48,0.427046
78,0.106195,0.6,0.180451
79,0.478261,0.647059,0.55
80,0.303269,0.38705,0.340076
81,0.464286,0.77381,0.580357
82,0.421239,0.655647,0.512931
83,0.39233,0.446309,0.417582
84,0.173684,0.195652,0.184015
85,0.177289,0.455357,0.255213
86,0.38193,0.450363,0.413333
87,0.472864,0.411792,0.44022
88,0.487437,0.685512,0.56975
89,0.456738,0.665289,0.541632
90,0.233807,0.552239,0.328524
91,0.265276,0.364754,0.307161
92,0.385013,0.760204,0.511149
93,0.130048,0.993827,0.23
94,0.479853,0.715847,0.574561
95,0.499603,0.43299,0.463918
96,0.129902,0.929825,0.227957
97,0.362335,0.705252,0.47872
98,0.102618,0.933333,0.184906
99,0.324017,0.454942,0.378476
100,0.188822,0.678426,0.295421
101,0.529197,0.780409,0.630709
102,0.525802,0.87471,0.656794
103,0.50365,0.43949,0.469388
104,0.146919,0.216279,0.174976
105,0.470449,0.750943,0.578488
106,0.308702,0.355185,0.330316
107,0.537037,0.813084,0.64684
108,0.479263,0.717241,0.574586
109,0.409056,0.341812,0.372423
110,0.485473,0.522704,0.503401
111,0.571429,1,0.727273
112,0.13933,0.322449,0.194581
113,0.437003,0.288087,0.347253
114,0.390468,0.623498,0.480206
115,0.114111,0.410658,0.178596
116,0.432749,0.496644,0.4625
117,0.681319,0.0867133,0.153846
118,0.108855,0.428115,0.173575
119,0.320796,0.734177,0.446497
120,0.636888,0.840304,0.72459
121,0.374588,0.482717,0.421834
122,0.60241,0.584795,0.593472
123,0.435065,0.555556,0.487983
124,0.495134,0.447887,0.470327
125,0.402367,0.894737,0.555102
126,0.725806,0.636792,0.678392
127,0.412602,0.67893,0.513274
128,0.401786,0.319716,0.356083
129,0.75,1,0.857143
130,0.112662,0.94958,0.201426
131,0.258993,0.166667,0.202817
132,0.289557,0.380457,0.328841
133,0.558113,0.607009,0.581535
134,0.431433,0.394922,0.412371
135,0.400844,0.567503,0.469832
136,0.164074,0.690476,0.265143
137,0.410397,0.483871,0.444115
138,0.677122,0.682156,0.67963
139,0.362881,1,0.53252
140,0.376501,0.376824,0.376662
141,0.24647,0.401674,0.305489
142,0.617391,0.546154,0.579592
143,0.693095,0.790087,0.73842
144,1,1,1
145,0.571321,0.662315,0.613462
146,0.182734,0.641414,0.284434
147,0.549145,0.747093,0.633005
148,0.236287,0.823529,0.367213
149,0.466602,0.533445,0.497789
150,0.253521,0.194805,0.220318
151,0.20354,0.418182,0.27381
152,0.647887,0.338235,0.444444
153,0.474535,0.471762,0.473145
154,0.127685,0.185442,0.151237
155,0.0509886,0.98,0.0969337
156,0.275229,0.211765,0.239362
157,0.244032,0.910891,0.384937
158,0.525439,0.576012,0.549564
159,0.218935,0.850575,0.348235
160,0.247563,0.48289,0.32732
161,0.728132,0.659529,0.692135
162,0.25,1,0.4
163,0.443431,0.442623,0.443026
164,0.13525,0.92029,0.23584
165,1,1,1
166,0.262195,0.521212,0.348884
167,0.43128,0.214876,0.28684
168,1,1,1
169,0.274903,0.448928,0.340996
170,0.354511,0.289119,0.318493
171,0.286428,0.456233,0.351918
172,0.224756,0.496403,0.309417
173,0.515879,0.440361,0.475138
174,0.20471,0.904,0.333826
175,0.215,0.308244,0.253314
176,0.308642,0.179856,0.227273
177,0.153421,0.570093,0.241776
178,0.518056,0.297211,0.377722
179,0.75,1,0.857143
180,0.194784,0.733129,0.307791
181,0.313071,0.558272,0.401171
182,0.259943,0.328546,0.290246
183,0.41281,0.608775,0.491997
184,0.610619,0.71875,0.660287
185,0.725424,0.581522,0.645551
186,0.694805,0.451477,0.547315
187,0.430595,0.974359,0.59725
188,0.617564,0.951965,0.749141
189,0.0984828,0.790598,0.175148
190,0.482818,0.676294,0.563409
191,0.680412,0.622642,0.650246
192,0.165957,0.50431,0.249733
193,0.333333,0.990196,0.498765
194,0.698454,0.846875,0.765537
195,0.0874685,0.717241,0.155922
196,0.397155,0.652878,0.493878
197,0.410909,0.201786,0.270659
198,0.415094,0.268293,0.325926
199,0.517065,0.473438,0.49429
200,0.359375,0.122776,0.183024
201,0.300971,0.370149,0.331995
202,0.506394,0.209302,0.296185
203,0.326241,0.254144,0.285714
204,0.539735,0.454039,0.493192
205,0.430657,0.706587,0.535147
206,0.498851,0.841085,0.626263
207,0.000517331,1,0.00103413
208,0.512774,0.651972,0.574055
209,0.503546,0.596639,0.546154
210,0.512309,0.644543,0.570869
211,0.531438,0.684989,0.598522
212,0.433319,0.55865,0.488067
213,0.168333,0.537234,0.256345
214,0.736364,0.597345,0.659609
215,0.312785,0.992754,0.475694
216,0.188107,0.207219,0.197201
217,0.055371,1,0.104932
218,0.352096,0.466667,0.401365
